0,pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
1,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN
16,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN
18,NaN,NaN,NaN,NaN
19,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN
21,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN
23,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN
26,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN
31,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN
36,NaN,NaN,NaN,NaN
37,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN
39,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN
46,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN
51,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN
53,NaN,NaN,NaN,NaN
54,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN
56,NaN,NaN,NaN,NaN
57,NaN,NaN,NaN,NaN
58,NaN,NaN,NaN,NaN
59,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN
61,NaN,NaN,NaN,NaN
62,NaN,NaN,NaN,NaN
63,NaN,NaN,NaN,NaN
64,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN
66,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,NaN
68,NaN,NaN,NaN,NaN
69,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN
71,NaN,NaN,NaN,NaN
72,NaN,NaN,NaN,NaN
73,NaN,NaN,NaN,NaN
74,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN
76,NaN,NaN,NaN,NaN
77,NaN,NaN,NaN,NaN
78,NaN,NaN,NaN,NaN
79,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN
81,NaN,NaN,NaN,NaN
82,NaN,NaN,NaN,NaN
83,NaN,NaN,NaN,NaN
84,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN
86,NaN,NaN,NaN,NaN
87,NaN,NaN,NaN,NaN
88,NaN,NaN,NaN,NaN
89,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN
91,NaN,NaN,NaN,NaN
92,NaN,NaN,NaN,NaN
93,NaN,NaN,NaN,NaN
94,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN
96,NaN,NaN,NaN,NaN
97,NaN,NaN,NaN,NaN
98,NaN,NaN,NaN,NaN
99,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN
101,NaN,NaN,NaN,NaN
102,NaN,NaN,NaN,NaN
103,NaN,NaN,NaN,NaN
104,NaN,NaN,NaN,NaN
105,NaN,NaN,NaN,NaN
106,NaN,NaN,NaN,NaN
107,NaN,NaN,NaN,NaN
108,NaN,NaN,NaN,NaN
109,NaN,NaN,NaN,NaN
110,NaN,NaN,NaN,NaN
111,NaN,NaN,NaN,NaN
112,NaN,NaN,NaN,NaN
113,NaN,NaN,NaN,NaN
114,NaN,NaN,NaN,NaN
115,NaN,NaN,NaN,NaN
116,NaN,NaN,NaN,NaN
117,NaN,NaN,NaN,NaN
118,NaN,NaN,NaN,NaN
119,NaN,NaN,NaN,NaN
120,NaN,NaN,NaN,NaN
121,NaN,NaN,NaN,NaN
122,NaN,NaN,NaN,NaN
123,NaN,NaN,NaN,NaN
124,NaN,NaN,NaN,NaN
125,NaN,NaN,NaN,NaN
126,NaN,NaN,NaN,NaN
127,NaN,NaN,NaN,NaN
128,NaN,NaN,NaN,NaN
129,NaN,NaN,NaN,NaN
130,NaN,NaN,NaN,NaN
131,NaN,NaN,NaN,NaN
132,NaN,NaN,NaN,NaN
133,NaN,NaN,NaN,NaN
134,NaN,NaN,NaN,NaN
135,NaN,NaN,NaN,NaN
136,NaN,NaN,NaN,NaN
137,NaN,NaN,NaN,NaN
138,NaN,NaN,NaN,NaN
139,NaN,NaN,NaN,NaN
140,NaN,NaN,NaN,NaN
141,NaN,NaN,NaN,NaN
142,NaN,NaN,NaN,NaN
143,NaN,NaN,NaN,NaN
144,NaN,NaN,NaN,NaN
145,NaN,NaN,NaN,NaN
146,NaN,NaN,NaN,NaN
147,NaN,NaN,NaN,NaN
148,NaN,NaN,NaN,NaN
149,703.639316,632.4,737.465142,639.006452
150,NaN,NaN,NaN,NaN
151,670.428505,641.070968,690.929006,691.032258
152,650.95303,647.264516,690.518996,660.683871
153,NaN,NaN,NaN,NaN
154,620.817294,664.606452,632.297575,702.180645
155,NaN,NaN,NaN,NaN
156,603.596874,674.722581,634.55263,681.948387
157,NaN,NaN,NaN,NaN
158,578.920109,687.424373,599.693949,722.475269
159,567.439828,696.049462,606.983016,711.831541
160,NaN,NaN,NaN,NaN
161,548.306028,711.281004,563.613068,756.608602
162,NaN,NaN,NaN,NaN
163,535.550161,723.759857,571.448815,734.220072
164,528.602222,731.58869,547.394894,770.922581
165,NaN,NaN,NaN,NaN
166,534.86542,745.508456,567.90919,754.643303
167,NaN,NaN,NaN,NaN
168,520.395273,762.038179,541.560563,802.927492
169,518.019577,769.215558,556.678627,782.917828
170,NaN,NaN,NaN,NaN
171,496.638314,788.572733,517.803604,841.859339
172,NaN,NaN,NaN,NaN
173,485.44534,804.150803,521.728695,806.664094
174,471.047183,819.23055,492.740406,858.669888
175,NaN,NaN,NaN,NaN
176,453.769395,831.410346,500.611398,834.696957
177,NaN,NaN,NaN,NaN
178,423.053327,854.416626,448.586058,897.335906
179,413.262581,859.829869,452.233592,868.916383
180,NaN,NaN,NaN,NaN
181,374.867496,880.902848,398.480473,928.65538
182,NaN,NaN,NaN,NaN
183,345.989265,899.380632,389.472094,897.343904
184,320.101814,910.989985,339.921894,952.335573
185,NaN,NaN,NaN,NaN
186,299.06826,930.746251,340.933123,935.023381
187,NaN,NaN,NaN,NaN
188,263.877506,953.761283,293.203134,1006.919897
189,NaN,NaN,NaN,NaN
190,231.887461,976.451672,262.988357,982.607119
191,206.359557,988.038395,229.011077,1040.540729
192,NaN,NaN,NaN,NaN
193,182.44962,1002.70284,229.011077,1009.039328
194,NaN,NaN,NaN,NaN
195,177.775497,1011.030796,206.719105,1059.18811
196,186.584421,1011.573924,237.820002,1012.841222
197,NaN,NaN,NaN,NaN
198,NaN,NaN,NaN,NaN
199,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN
201,NaN,NaN,NaN,NaN
202,NaN,NaN,NaN,NaN
203,NaN,NaN,NaN,NaN
204,NaN,NaN,NaN,NaN
205,NaN,NaN,NaN,NaN
206,NaN,NaN,NaN,NaN
207,NaN,NaN,NaN,NaN
208,NaN,NaN,NaN,NaN
209,NaN,NaN,NaN,NaN
210,NaN,NaN,NaN,NaN
211,NaN,NaN,NaN,NaN
212,NaN,NaN,NaN,NaN
213,NaN,NaN,NaN,NaN
214,NaN,NaN,NaN,NaN
215,NaN,NaN,NaN,NaN
216,NaN,NaN,NaN,NaN
217,NaN,NaN,NaN,NaN
218,NaN,NaN,NaN,NaN
219,NaN,NaN,NaN,NaN
220,NaN,NaN,NaN,NaN
221,NaN,NaN,NaN,NaN
222,NaN,NaN,NaN,NaN
223,NaN,NaN,NaN,NaN
224,NaN,NaN,NaN,NaN
225,NaN,NaN,NaN,NaN
226,NaN,NaN,NaN,NaN
227,NaN,NaN,NaN,NaN
228,NaN,NaN,NaN,NaN
229,NaN,NaN,NaN,NaN
230,NaN,NaN,NaN,NaN
231,NaN,NaN,NaN,NaN
232,NaN,NaN,NaN,NaN
233,NaN,NaN,NaN,NaN
